Title;Author;Publisher;ReadSituation;Owner
Ölmeye Yatmak;Adalet Aðaoðlu;Everest;To-Read;Ege Balçýk
Bir Düðün Gecesi;Adalet Aðaoðlu;Everest;To-Read;Ege Balçýk
Hayýr;Adalet Aðaoðlu;Everest;To-Read;Ege Balçýk
Daðýnýk Zihin;Adam Gazzaley-Larry D. Rosen;Metis Yayýnlarý;To-Read;Ege Balçýk
Kaçýrdýklarýmýz;Adam Phillips;Metis Yayýnlarý;To-Read;Ege Balçýk
Yasak Olmayan Hazlar;Adam Phillips;Metis Yayýnlarý;To-Read;Ege Balçýk
Kolay Farsça Öðrenme 1;Ahmad Jabbari;Gece;To-Read;Ege Balçýk
Saatleri Ayarlama Enstitüsü;Ahmet Hamdi Tanpýnar;Dergah;To-Read;Ege Balçýk
Felatun Bey ile Rakým Efendi;Ahmet Mithat Efendi;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Çingene;Ahmet Mithat Efendi;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Köy Enstitüleri Dosyasý;Ahmet Özgür Türen;Destek;Read;Ege Balçýk
Feminizm Kendi Arasýnda;Aksu Bora;Ýletiþim;To-Read;Ege Balçýk
Kadýnlarýn Sýnýfý;Aksu Bora;Ýletiþim;To-Read;Ege Balçýk
Düþüþ;Albert Camus;Can Yayýnlarý;Read;Ege Balçýk
Yabancý;Albert Camus;Varlýk;Read;Ege Balçýk
Yasa Kitabý ve Yalanlar Kitabý;Aleister Crowley;Ýthaki;To-Read;Ege Balçýk
Bonzai;Alejandro Zambra;Notos;Read;Ege Balçýk
Kýzýl Yýldýz;Aleksandr Bogdanov;Yordam;Read;Ege Balçýk
Paranýn Ýcadý;Alessandro Marzo Magno;Tellekt;To-Read;Ege Balçýk
Üç Silahþörler;Alexandre Dumas;Alfa;Read;Ege Balçýk
Doðu'dan Uzakta;Amin Maalouf;YKY;To-Read;Ege Balçýk
Afrikalý Leo;Amin Maalouf;YKY;Read;Ege Balçýk
Semerkant;Amin Maalouf;YKY;Read;Ege Balçýk
Rus Düþünce Tarihi;Andrzej Walicki;Ýletiþim;To-Read;Ege Balçýk
Binbir Gece Masallarý 1;Anonim;Delta;To-Read;Ege Balçýk
Binbir Gece Masallarý 2;Anonim;Delta;To-Read;Ege Balçýk
Poetika;Aristoteles;Can Yayýnlarý;Read;Ege Balçýk
Nikomakhos'a Etik;Aristoteles;Say Yayýnlarý;Read;Ege Balçýk
Gülizar'ýn Kara Düðünü;Armenouhie Kevonian;Aras;Read;Ege Balçýk
Tekinsiz Öyküler;Arthur Conan Doyle;Ýthaki;To-Read;Ege Balçýk
Yüce Tanrý Pan;Arthur Machen;Ýthaki;Read;Ege Balçýk
Üç Sahtekar;Arthur Machen;Ýthaki;To-Read;Ege Balçýk
Favorite Russian Fairy Tales;Arthur Ransome;Dover;Read;Ege Balçýk
Ben Sana Mecburum;Attila Ýlhan;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Faþizm ve Kapitalizm;August Thalheimer-Otto Bauer-Arthur Rosenberg-Angelo Tasca;Ayrýntý;To-Read;Ege Balçýk
Vefailik, Bektaþilik, Kýzýlbaþlýk;Ayfer Karakaya-Stump;Ýstanbul Bilgi Üniversitesi Yayýnlarý;To-Read;Ege Balçýk
Kapak Kýzý;Ayfer Tunç;Can Yayýnlarý;To-Read;Ege Balçýk
Suzan Defter;Ayfer Tunç;Can Yayýnlarý;Read;Ege Balçýk
Beyaz Yakalý Eþcinseller;Aysun Öner;Ýletiþim;To-Read;Ege Balçýk
Kanadalýlaþtýramadýklarýmýzdan Mýsýnýz?;Ayþe Acar;Karakarga;Read;Ege Balçýk
Vatandaþlýðýn Dönüþümü;Ayþe Kadýoðlu;Metis Yayýnlarý;To-Read;Ege Balçýk
Sevdalinka;Ayþe Kulin;Remzi;Read;Ege Balçýk
Homeros;Azra Erhat;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Babürname;Babur Han;Kabalcý;To-Read;Ege Balçýk
Bizim Büyük Çaresizliðimiz;Barýþ Býçakçý;Ýletiþim;To-Read;Ege Balçýk
Türklük Sözleþmesi;Barýþ Ünlü;Dipnot;To-Read;Ege Balçýk
Feminizm Herkes Ýçindir;Bell Hooks;bgst;Read;Ege Balçýk
Gerçekten Bilmeniz Gereken 50 Felsefe Fikri;Ben Dupre;Domingo Yayýnlarý;To-Read;Ege Balçýk
Ýnanç ve Ýktidar;Bernard Lewis;Akýlçelen Kitaplar;To-Read;Ege Balçýk
Orta Doðu'da Irk Kavramý ve Kölelik;Bernard Lewis;Akýlçelen Kitaplar;To-Read;Ege Balçýk
ModernTürkiye'nin Doðuþu;Bernard Lewis;Arkadaþ;To-Read;Ege Balçýk
Haþhaþiler;Bernard Lewis;Kapý;Read;Ege Balçýk
Akýllý Bir Kadýna Rehber;Bernard Shaw;Alfa ;To-Read;Ege Balçýk
Batý Felsefesi Tarihi 1;Bertrand Russell;Alfa;To-Read;Ege Balçýk
Batý Felsefesi Tarihi 2;Bertrand Russell;Alfa;To-Read;Ege Balçýk
Batý Felsefesi Tarihi 3;Bertrand Russell;Alfa;To-Read;Ege Balçýk
Genetik 101;Beth Skwarecki;Say Yayýnlarý;To-Read;Ege Balçýk
Ne Kitapsýz Ne Kedisiz;Bilge Karasu;Metis Yayýnlarý;To-Read;Ege Balçýk
Göçmüþ Kediler Bahçesi;Bilge Karasu;Metis Yayýnlarý;Read;Ege Balçýk
Narla Ýncire Gazel;Bilge Karasu;Metis Yayýnlarý;Read;Ege Balçýk
Kýsmet Büfesi;Bilge Karasu;Metis Yayýnlarý;Read;Ege Balçýk
Decameron;Boccaccio;Oðlak Yayýnlarý;To-Read;Ege Balçýk
Dracula;Bram Stoker;Ýthaki;To-Read;Ege Balçýk
Elantris;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Savaþkýran;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Krallarýn Yolu;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Parlayan Sözler;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Oathbringer;Brandon Sanderson;Akýlçelen Kitaplar;To-Read;Ege Balçýk
Son Ýmparatorluk;Brandon Sanderson;Akýlçelen Kitaplar;Read;Ege Balçýk
Kuþatma;Brandon Sanderson;Akýlçelen Kitaplar;To-Read;Ege Balçýk
Arcanum Unbounded;Brandon Sanderson;Great Britain;To-Read;Ege Balçýk
Divanýmdaki Erkekler;Brandy Engler-D. Rensin;Ayrýntý;Read;Ege Balçýk
Leyla ile Mecnun;Burak Aksak;Küsurat;Read;Ege Balçýk
Sovyetler Birliði'nde Komünist Kadýn Hareketi 1919-1930;Burcu Özdemir;Yordam;To-Read;Ege Balçýk
Annemin Kaburgasý;Burçin Tetik;Ýletiþim;Read;Ege Balçýk
Filmlerle Sosyoloji;Bülent Diken-Carsten B. Laustsen;Metis Yayýnlarý;To-Read;Ege Balçýk
Güneþ Ülkesi;Campanella;Alfa;Read;Ege Balçýk
Etin Cinsel Politikasý;Carol J. Adams;Ayrýntý;To-Read;Ege Balçýk
Rüyadan Ýmparatorluða Osmanlý;Caroline Finkel;Timaþ Yayýnlarý;To-Read;Ege Balçýk
Kemalizm Sol Deðil;Cem Uzun;Mark-21;To-Read;Ege Balçýk
Kendine Ait Bir Roma;Cemal Kafadar;Metis Yayýnlarý;To-Read;Ege Balçýk
Ýki Cihan Aresinde;Cemal Kafadar;Metis Yayýnlarý;To-Read;Ege Balçýk
Kim var imiþ biz burada yoð iken;Cemal Kafadar;Metis Yayýnlarý;Read;Ege Balçýk
Sevda Sözleri;Cemal Süreya;YKY;Read;Ege Balçýk
Gün Olur Asra Bedel;Cengiz Aytmatov;Ketebe Yayýnlarý;To-Read;Ege Balçýk
Toprak Ana;Cengiz Aytmatov;Ötüken Neþriyat;Read;Ege Balçýk
Ýstanbul'da Bekar Kadýn Olmak;Ceren Lordoðlu;Ýletiþim;Read;Ege Balçýk
Büyük Umutlar;Charles Dickens;Can Yayýnlarý;To-Read;Ege Balçýk
Ýki Þehrin Hikayesi;Charles Dickens;Can Yayýnlarý;Read;Ege Balçýk
Müþterek Dostumuz 1;Charles Dickens;Ýthaki;Read;Ege Balçýk
